Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
ago,1989,2,1581,11454784,Angola,africa
ago,1990,2,1609,11848385,Angola,africa
ago,1991,2,1671,12248901,Angola,africa
ago,1992,2,1615,12657361,Angola,africa
ago,1993,2,1256,13075044,Angola,africa
ago,1994,2,1303,13503753,Angola,africa
ago,1995,2,1533,13945205,Angola,africa
ago,1996,2,1783,14400722,Angola,africa
ago,1997,2,1961,14871572,Angola,africa
ago,1998,2,2105,15359600,Angola,africa
ago,1999,2,2208,15866871,Angola,africa
ago,2000,2,2341,16395477,Angola,africa
ago,2001,2,2514,16945753,Angola,africa
ago,2002,2,2932,17519418,Angola,africa
ago,2003,2,3152,18121477,Angola,africa
ago,2004,2,3562,18758138,Angola,africa
ago,2005,2,4311,19433604,Angola,africa
ago,2006,2,5607,20149905,Angola,africa
ago,2007,2,6964,20905360,Angola,africa
ago,2008,2,7854,21695636,Angola,africa
ago,2009,2,7763,22514275,Angola,africa
ago,2010,2,7692,23356247,Angola,africa
ago,2011,2,7675,24220660,Angola,africa
ago,2012,2,8037,25107925,Angola,africa
ago,2013,4,8141,26015786,Angola,africa
ago,2014,4,8240,26941773,Angola,africa
alb,1800,4,755,400000,Albania,europe
alb,1801,4,755,401773,Albania,europe
alb,1802,4,755,403554,Albania,europe
alb,1803,4,755,405343,Albania,europe
alb,1804,4,755,407140,Albania,europe
alb,1805,4,756,408945,Albania,europe
alb,1806,4,756,410758,Albania,europe
alb,1807,4,756,412579,Albania,europe
alb,1808,4,756,414408,Albania,europe
alb,1809,4,756,416246,Albania,europe
alb,1810,4,756,418099,Albania,europe
alb,1811,4,756,419953,Albania,europe
alb,1812,4,756,421814,Albania,europe
alb,1813,4,756,423684,Albania,europe
alb,1814,4,756,425563,Albania,europe
alb,1815,4,757,427449,Albania,europe
alb,1816,4,757,429344,Albania,europe
alb,1817,4,757,431248,Albania,europe
alb,1818,4,757,433159,Albania,europe
alb,1819,4,757,435086,Albania,europe
alb,1820,4,757,437026,Albania,europe
alb,1821,4,760,438981,Albania,europe
alb,1822,4,761,440950,Albania,europe
alb,1823,4,763,442934,Albania,europe
